DOS,lesion_length,lumen_axial_skewness,lipid_length_ratio,alpha,PI,d_fc_ca,fraction,ca_axial_skewness,ca_shoulder_skewness,ca_strength_ratio,fc_av_th,SBP,PP,tau,DBP,E_vessel,E_fc,E_lipid,E_cal
0.5433,1.7087,-0.0368,0.5942,253.0,0.988,0.0096,0.2592,0.0063,0.4305,0.2526,0.01,150.83,47.68,0.25163,103.15,10984392,20530293,168115,213371697900
0.465,2.6521,-0.4188,0.5328,197.3,1.147,0.0086,0.1755,0.7446,0.6682,0.4804,0.01,164.51,67.56,0.07345,96.95,13288250,11840417,339547,170043049889
0.6328,2.4405,0.1186,0.7651,125.8,1.122,0.02,0.5732,0.4935,0.1356,2.899,0.01,133.98,59.79,0.17869,74.19,6670895,10621696,202074,148799011450
0.3173,1.4813,-0.2424,0.7737,132.0,1.069,0.0164,0.3199,0.0036,0.6609,1.2995,0.01,125.6,43.92,0.0395,81.68,8267287,17178180,278494,63598388917
0.6091,2.2839,-0.1691,0.5991,190.6,1.082,0.0055,0.3799,0.4201,0.4049,1.2909,0.01,126.03,37.42,0.09794,88.61,5841779,22167761,747625,184919112309
0.518,2.8056,-0.4678,0.6324,240.1,1.058,0.008,0.6943,0.0931,0.503,0.6004,0.01,168.69,45.3,0.07191,123.39,7967519,7868919,972232,14506444403
0.6557,2.2233,-0.0996,0.5213,214.8,1.114,0.0169,0.3586,0.543,0.7429,1.4116,0.01,151.81,38.22,0.09339,113.59,2434221,14683448,379494,141411694059
0.6423,1.4287,0.2566,0.6077,231.0,1.073,0.0133,0.473,0.5391,0.287,0.2611,0.01,107.72,47.08,0.35116,60.64,12183387,18025783,34702,155902007958
0.7046,2.511,-0.089,0.5457,193.0,0.967,0.0191,0.6512,0.6647,0.6727,0.7156,0.01,143.14,39.49,0.25545,103.65,7686915,4705696,612906,108934945070
0.4864,2.7008,0.1605,0.5134,177.6,0.993,0.0111,0.2382,0.1779,0.3281,3.231,0.01,149.0,74.77,0.47469,74.23,2044195,7115437,586773,173966360724
0.3939,2.4754,0.3928,0.7593,246.7,1.002,0.0095,0.7945,0.7396,0.366,1.175,0.01,161.14,66.87,0.15518,94.27,7244269,12925484,245766,219783428364
0.2521,2.6778,0.2799,0.6364,122.9,1.014,0.0119,0.1082,0.4757,0.563,0.5313,0.01,156.4,54.42,0.09685,101.98,1625907,12107320,355916,247716543564
0.3479,2.1601,0.273,0.6174,164.7,0.994,0.0158,0.6725,0.1121,0.0447,1.9429,0.01,143.43,49.88,0.36938,93.55,2010427,18689155,346414,183397390783
0.6713,1.3484,-0.4459,0.7067,229.6,1.017,0.0095,0.1316,0.1682,0.0839,0.3364,0.01,148.44,41.11,0.09448,107.33,8808555,20155365,544791,180259305361
0.648,2.3294,-0.0643,0.7111,263.0,0.935,0.0085,0.3345,0.7985,0.0374,0.5015,0.01,166.91,37.77,0.37986,129.14,1165147,13435249,207865,120341306121
0.4079,1.5329,0.1394,0.7699,248.0,1.181,0.0106,0.2347,0.037,0.1298,0.3923,0.01,149.42,43.08,0.03633,106.34,6122031,17495683,539061,140797654310
0.2946,1.7611,0.1771,0.7433,230.2,1.061,0.0186,0.44,0.6697,0.4527,0.6289,0.01,154.52,68.3,0.01484,86.22,7306101,4845559,739497,233873213033
0.5887,2.8722,-0.2531,0.5692,186.9,1.101,0.0152,0.577,0.3065,0.3303,2.6768,0.01,106.31,38.89,0.12025,67.42,10762127,6941162,771293,125959852980
0.2758,2.3731,-0.4822,0.5337,268.6,1.083,0.0078,0.1194,0.4527,0.0801,1.586,0.01,142.31,77.44,0.2706,64.87,12093751,15526477,671894,56581912147
0.3008,1.4926,-0.1671,0.7679,179.7,1.038,0.0141,0.525,0.4096,0.1491,4.1548,0.01,116.35,55.23,0.26843,61.12,10831224,11057724,286918,198509029778
0.4267,1.7968,-0.3209,0.5886,148.5,0.986,0.0113,0.6616,0.7782,0.5635,1.5182,0.01,131.79,35.24,0.09998,96.55,11890944,14329818,845650,126913321281
0.5451,2.254,-0.437,0.5005,239.0,0.977,0.0198,0.1678,0.5903,0.7635,1.8427,0.01,104.41,40.52,0.45917,63.89,8049350,12139776,643943,161718249860
0.288,1.0304,-0.265,0.5488,128.4,0.931,0.0118,0.2164,0.142,0.5208,0.886,0.01,102.91,56.46,0.08616,46.45,9901862,20314873,383076,11404541609
0.4467,1.307,-0.3284,0.505,214.4,1.022,0.0152,0.4882,0.285,0.4981,2.0047,0.01,154.56,57.51,0.34415,97.05,12228318,16985332,893286,135356530741
0.3571,1.7501,-0.1147,0.6711,137.7,0.912,0.0104,0.5437,0.0879,0.3614,1.746,0.01,149.49,41.7,0.37766,107.79,7156301,18335951,466395,201722072813
0.5633,1.9286,-0.3828,0.5245,154.0,1.159,0.017,0.6691,0.6887,0.3131,0.4834,0.01,125.1,43.75,0.27313,81.35,6423410,7497851,170590,162475001419
0.2728,1.9624,-0.3721,0.6906,213.0,1.091,0.0073,0.1075,0.5337,0.2801,2.6303,0.01,147.49,60.23,0.43524,87.26,7674692,7323064,107364,228626850089
0.6411,2.4046,0.2372,0.5186,123.3,1.094,0.0153,0.7846,0.5405,0.5467,1.1544,0.01,109.31,59.31,0.36026,50.0,3060334,8798774,519815,138229774791
0.5217,1.5714,-0.3406,0.7153,220.2,1.081,0.0128,0.2687,0.7216,0.1269,1.931,0.01,109.81,49.56,0.20033,60.25,9890661,12093219,823536,48294076105
0.5139,2.2272,0.1408,0.7715,132.3,1.021,0.0097,0.7437,0.0444,0.3042,4.4001,0.01,145.19,45.84,0.43836,99.35,12278083,4484194,555181,179760616603
0.6738,2.473,0.4994,0.5558,228.6,1.137,0.0055,0.5569,0.2272,0.5326,0.3776,0.01,114.77,65.17,0.48605,49.6,12646549,22555694,936580,238166339897
0.2743,1.9235,-0.3156,0.5468,228.5,1.106,0.0096,0.5054,0.4784,0.0584,1.0535,0.01,100.87,58.94,0.02055,41.93,9421309,8364261,88810,135202763859
0.5447,2.6632,-0.2097,0.5606,159.3,1.067,0.0152,0.4214,0.2627,0.701,0.2979,0.01,129.66,77.16,0.12273,52.5,6004978,11274871,531866,121452700366
0.5187,2.9437,0.3184,0.6446,214.0,1.081,0.0093,0.3486,0.745,0.1614,0.7604,0.01,120.39,78.75,0.35073,41.64,11406394,11552699,122530,18073187534
0.7111,1.3657,0.1886,0.5582,194.0,1.176,0.0059,0.5348,0.6653,0.1386,1.9941,0.01,120.72,57.82,0.23685,62.9,9998852,14624017,150322,75690634823
0.5595,1.1078,0.0919,0.6544,140.4,1.096,0.0141,0.3863,0.565,0.7487,0.8636,0.01,102.73,46.44,0.39067,56.29,9394848,22781883,486504,137921534551
0.2541,2.2043,0.3272,0.6546,210.3,0.916,0.0153,0.1936,0.2097,0.1665,0.9089,0.01,160.96,41.96,0.25355,119.0,10888700,4685323,312892,86592032986
0.281,2.0298,-0.2727,0.5835,177.0,1.031,0.0112,0.3319,0.7894,0.152,1.2865,0.01,148.93,58.27,0.11685,90.66,7386750,13459141,84203,12069416095
0.5898,1.2009,-0.0678,0.7584,241.6,0.983,0.0172,0.7384,0.6839,0.1943,1.1236,0.01,160.7,61.01,0.43693,99.69,8983055,4759824,233554,26432398106
0.3268,2.0581,0.1524,0.5117,126.5,1.121,0.0079,0.4192,0.7224,0.2678,4.3124,0.01,157.44,37.61,0.38089,119.83,3819562,12842217,186971,60078681472
0.6506,1.8753,0.1331,0.591,207.1,1.165,0.0122,0.4335,0.6566,0.5931,0.5231,0.01,150.54,52.68,0.47197,97.86,6491327,21957861,709925,95487631221
0.5721,1.9142,0.4721,0.7078,193.3,0.966,0.0177,0.1208,0.3246,0.6645,1.0383,0.01,121.35,70.58,0.06584,50.77,4800951,4205908,833905,77019115555
0.3334,2.2086,0.4626,0.7194,195.2,1.01,0.0129,0.6908,0.1983,0.5902,0.4003,0.01,151.18,55.86,0.10475,95.32,1386695,4932543,816400,121063367858
0.3152,2.4195,0.1322,0.6779,216.3,1.025,0.0089,0.6184,0.2841,0.6055,0.2492,0.01,148.16,60.99,0.21184,87.17,13259200,15621131,911085,98047629014
0.3539,1.768,-0.4979,0.5397,248.3,1.142,0.0087,0.6595,0.0131,0.5242,2.8809,0.01,136.38,65.25,0.02021,71.13,13898610,5356586,841386,94136391659
0.6641,1.6204,-0.4617,0.6514,230.6,1.061,0.0057,0.2065,0.3002,0.2103,4.8021,0.01,116.55,73.18,0.47333,43.37,3764871,22523516,924730,39963805687
0.4364,2.8138,0.1232,0.742,174.3,1.184,0.0092,0.4371,0.4598,0.2938,0.2072,0.01,160.27,53.29,0.04517,106.98,2572753,21552856,467652,113990933830
0.724,2.1502,-0.0152,0.6197,241.9,1.093,0.0161,0.7762,0.4715,0.2995,0.3002,0.01,132.14,64.59,0.19666,67.55,9232398,18908974,136829,39660699177
0.4764,2.0708,0.4698,0.7281,171.7,1.166,0.0136,0.6026,0.6692,0.1694,0.5745,0.01,132.58,53.68,0.48646,78.9,13829362,11521269,994364,233190974623
0.4262,2.8206,0.0646,0.518,184.0,0.999,0.0173,0.5843,0.2117,0.4126,0.397,0.01,143.21,46.6,0.41709,96.61,8676405,22202156,274326,118532971108
0.48,1.775,-0.3469,0.5098,138.1,0.981,0.0191,0.5121,0.1074,0.3701,1.7518,0.01,119.03,75.73,0.41172,43.3,11777090,4520892,547444,8482955565
0.5095,2.5551,0.4455,0.7224,263.8,1.037,0.0194,0.5887,0.0983,0.5405,0.3673,0.01,103.59,38.12,0.40975,65.47,1053555,5243812,99474,42897615512
0.7144,1.5528,0.3222,0.628,221.1,1.14,0.0198,0.7751,0.1082,0.1188,0.1325,0.01,165.5,59.29,0.47915,106.21,10164343,8016703,716568,220192740086
0.3189,1.5383,-0.3051,0.7956,240.5,1.113,0.0137,0.5821,0.3975,0.0036,5.9939,0.01,160.36,43.24,0.09161,117.12,9907129,5405655,141080,150070798829
0.6219,2.9048,-0.4112,0.5085,157.3,1.036,0.0124,0.2502,0.3307,0.4805,0.2396,0.01,166.26,54.6,0.27644,111.66,3549639,8612180,119285,59839489576
0.6196,1.1055,0.3448,0.7191,218.2,1.036,0.0132,0.7002,0.4922,0.1408,1.4262,0.01,142.53,57.4,0.32783,85.13,8911850,5735125,957701,193000234116
0.3309,1.9058,0.2594,0.7515,139.9,1.089,0.0127,0.5037,0.5213,0.7752,0.3885,0.01,161.69,73.98,0.47942,87.71,2927141,19219315,133335,247444956318
0.6453,1.9872,-0.1737,0.6354,190.4,0.962,0.0093,0.7545,0.3238,0.0113,2.4703,0.01,112.85,50.66,0.11632,62.19,2234838,7575875,373805,122568865372
0.4059,2.4066,-0.3615,0.5152,203.4,0.977,0.0069,0.5319,0.1589,0.0143,0.4769,0.01,113.26,63.85,0.07267,49.41,1921777,13027097,27429,56163132672
0.5527,2.3687,0.2653,0.645,156.3,1.047,0.0175,0.5722,0.3363,0.2146,2.6556,0.01,156.85,48.1,0.15783,108.75,11671058,7610731,796873,48747511296
0.5353,1.958,-0.0839,0.557,222.0,1.059,0.0058,0.4156,0.2206,0.1967,1.5609,0.01,122.38,48.34,0.07845,74.04,5356833,18555661,693880,161190838384
0.6631,2.2361,0.0174,0.5837,197.8,1.12,0.0197,0.2924,0.3958,0.7299,2.7674,0.01,156.11,38.97,0.02584,117.14,13158465,20418311,771925,97270364265
0.3395,1.2028,0.3861,0.7478,208.7,0.995,0.0149,0.4298,0.4484,0.0314,0.7719,0.01,117.2,60.72,0.09064,56.48,1510358,20820108,216135,109407506082
0.57,2.6785,-0.0387,0.5447,227.7,0.978,0.0114,0.7287,0.5517,0.3314,1.2596,0.01,113.73,69.28,0.48579,44.45,2844640,18650825,598193,227207062323
0.3485,1.8214,0.2461,0.5347,179.6,1.177,0.0139,0.7721,0.3752,0.5593,0.1501,0.01,135.52,43.69,0.04671,91.83,3130702,6485116,948774,236629376957
0.3587,1.9352,-0.2101,0.5176,182.2,1.115,0.0125,0.7083,0.5804,0.3972,1.6541,0.01,124.05,36.6,0.26337,87.45,7890270,11136834,493398,160846320225
0.4777,2.2484,0.1875,0.6636,227.9,0.92,0.0125,0.6008,0.2523,0.7537,0.3194,0.01,101.09,59.52,0.34066,41.57,3698870,5418936,136117,249129819582
0.5152,2.6249,-0.0577,0.6303,178.1,0.947,0.0187,0.3177,0.2175,0.654,0.5517,0.01,101.9,37.87,0.3269,64.03,9158681,7237566,754544,112105363418
0.4009,1.0239,-0.1365,0.6026,206.6,1.014,0.0165,0.1816,0.4261,0.5035,6.8863,0.01,166.69,62.19,0.47628,104.5,11397442,17862833,335320,21791140588
0.5689,1.272,-0.3657,0.5262,238.5,1.19,0.0089,0.39,0.3641,0.3573,1.8941,0.01,143.73,41.41,0.43887,102.32,13568883,13296993,244294,115388959691
0.2626,2.9614,-0.0421,0.6233,189.1,0.951,0.018,0.2734,0.5611,0.0721,0.4172,0.01,151.77,68.89,0.1391,82.88,7587833,20870120,418124,247112908239
0.582,1.1513,-0.0099,0.609,241.5,1.165,0.0163,0.2291,0.7997,0.1115,0.2478,0.01,148.5,75.35,0.46349,73.15,2270385,15510160,742416,149028151011
0.7029,1.3464,-0.0448,0.5199,269.7,0.93,0.0168,0.4722,0.6126,0.0647,1.7598,0.01,165.32,43.67,0.20613,121.65,11653911,9828071,878185,238947997604
0.7275,2.1042,-0.3451,0.5998,204.7,1.094,0.0097,0.1914,0.7192,0.4398,0.5572,0.01,154.25,57.09,0.049,97.16,4601529,13164602,692609,16693101826
0.2859,1.3168,-0.4543,0.5192,182.7,0.986,0.016,0.5653,0.5687,0.6691,0.8961,0.01,105.11,55.3,0.29895,49.81,7769718,9504399,785403,112491959276
0.2818,2.8182,0.2662,0.7607,215.3,1.195,0.0082,0.5922,0.5191,0.0492,0.983,0.01,158.88,62.45,0.01087,96.43,13806279,18953293,224847,125109421211
0.4869,1.1684,-0.178,0.5489,238.2,1.018,0.0197,0.2288,0.7065,0.3749,1.9571,0.01,123.99,48.19,0.09916,75.8,5328066,13003382,609639,187657645724
0.3718,2.6547,0.2352,0.5705,243.4,1.036,0.0153,0.2513,0.7409,0.4768,0.5193,0.01,121.75,69.52,0.44328,52.23,11515739,22926930,426179,54739205450
0.3029,1.8324,-0.0669,0.7553,174.1,1.02,0.0056,0.1375,0.0007,0.2416,2.5398,0.01,111.95,63.25,0.27753,48.7,7757851,18530188,956281,49803980243
0.3263,2.6173,0.0573,0.6221,266.9,1.063,0.0092,0.6165,0.6396,0.2088,0.1082,0.01,134.12,72.51,0.3077,61.61,10690405,9667033,921497,142989785609
0.3366,1.0554,0.2425,0.7582,156.1,0.972,0.0143,0.3117,0.3526,0.6886,0.3203,0.01,140.02,77.81,0.07118,62.21,3074737,4859560,640855,79363744313
0.256,1.1216,-0.0454,0.5238,127.0,1.035,0.0142,0.19,0.7654,0.6141,1.5798,0.01,157.81,40.39,0.16235,117.42,3457760,5479708,602123,71856603858
0.2754,2.7273,0.278,0.7038,199.0,1.187,0.0132,0.2838,0.1612,0.2321,1.6245,0.01,160.54,72.04,0.2263,88.5,9173561,11887917,473142,216851502993
0.4555,1.4189,-0.4229,0.7989,136.2,1.135,0.0062,0.3154,0.1512,0.4838,7.4694,0.01,130.55,43.52,0.24547,87.03,5024152,21608340,90477,243475125680
0.433,1.7249,0.1288,0.6985,224.8,1.07,0.0181,0.765,0.1441,0.2297,0.8811,0.01,117.69,58.71,0.04271,58.98,7254631,6349553,707424,10098637244
0.5056,1.4313,-0.2055,0.6851,124.1,1.03,0.0078,0.3703,0.4675,0.3767,1.2756,0.01,160.68,61.97,0.37882,98.71,9719818,8860936,855519,130714218715
0.6845,2.2753,0.4438,0.6488,128.0,1.127,0.0103,0.2335,0.6294,0.1021,0.4289,0.01,130.9,39.71,0.41251,91.19,1730894,9766164,443134,154372271803
0.7321,2.9587,0.3409,0.5955,233.9,1.099,0.0118,0.7673,0.2398,0.652,0.4839,0.01,135.37,56.07,0.0523,79.3,9807025,14422743,76200,217650463684
0.3519,2.4277,-0.2319,0.6852,223.7,1.119,0.0171,0.6628,0.7775,0.6985,0.8321,0.01,153.53,72.11,0.1537,81.42,12453621,10032841,584246,241212250819
0.6998,2.3827,0.2272,0.7175,264.8,1.072,0.0199,0.3336,0.5086,0.4713,2.2659,0.01,156.81,69.63,0.0195,87.18,10521793,20051053,843329,93257696737
0.5674,1.2215,0.2168,0.578,227.0,0.984,0.0107,0.7579,0.62,0.4132,1.4439,0.01,160.85,48.77,0.11461,112.08,5626454,7459580,942262,240132224602
0.336,2.9354,0.148,0.5405,251.7,1.026,0.0055,0.7443,0.2797,0.2629,0.5049,0.01,160.41,65.22,0.226,95.19,10223955,14841391,746033,80583500936
0.5474,1.2875,0.3529,0.7885,139.5,1.195,0.0092,0.5995,0.3741,0.6784,1.4677,0.01,126.48,76.28,0.01929,50.2,2677148,7385452,116186,91207091491
0.2691,2.87,-0.1084,0.6314,216.5,0.951,0.0072,0.4559,0.7897,0.7613,2.0949,0.01,140.28,69.46,0.12631,70.82,9773013,21576507,516542,67737824074
0.4922,2.6684,0.4964,0.7897,150.4,1.083,0.0121,0.6388,0.7818,0.4381,0.6955,0.01,147.77,46.85,0.15217,100.92,11382549,16562905,431124,74857546224
0.274,1.7135,0.3468,0.7655,174.0,1.042,0.0077,0.5999,0.6304,0.3339,0.1698,0.01,156.47,58.82,0.27803,97.65,6293683,11044973,636745,73961568526
0.37,1.2048,0.4634,0.6202,217.1,1.139,0.0088,0.4622,0.114,0.5804,3.0856,0.01,114.14,40.08,0.16311,74.06,9090693,5766956,998027,185536742178
0.672,2.2112,-0.08,0.6691,122.0,0.913,0.0111,0.4685,0.7861,0.5882,0.3599,0.01,113.37,58.13,0.40847,55.24,13921193,14669293,880082,129920984609
0.4236,1.6628,0.176,0.516,215.7,1.129,0.0172,0.5977,0.3675,0.7702,1.5678,0.01,103.46,52.34,0.44296,51.12,7608780,13359534,174417,130609444972
0.3253,1.3527,-0.3546,0.548,248.1,1.033,0.0196,0.5895,0.7946,0.1863,0.3075,0.01,112.73,52.2,0.048,60.53,11468560,12294239,567707,200282274028
0.3534,1.049,0.2151,0.7355,237.1,1.05,0.0169,0.1136,0.2229,0.402,3.26,0.01,159.41,59.65,0.49135,99.76,6583854,16901949,180931,29312931773
0.5729,2.1493,-0.2634,0.5234,215.7,1.019,0.0133,0.7659,0.7241,0.0678,3.6495,0.01,169.79,74.29,0.21229,95.5,2213185,13521926,153510,70070739257
0.602,2.0482,0.3174,0.7333,186.5,1.176,0.0154,0.4229,0.5814,0.0191,3.1905,0.01,135.64,65.51,0.18443,70.13,4979398,11186757,284238,41619866444
0.5481,1.6738,-0.1857,0.6213,249.0,0.936,0.0135,0.3528,0.4112,0.0934,1.6129,0.01,120.08,74.48,0.2958,45.6,11092420,22462253,875312,178954980476
0.5761,2.5438,0.0674,0.6725,202.1,1.048,0.0086,0.4051,0.2251,0.3466,2.7615,0.01,132.87,59.87,0.36808,73.0,1679399,13644340,316344,221394092844
0.5079,1.2181,0.2978,0.6393,191.5,1.096,0.009,0.1904,0.7797,0.1801,0.2748,0.01,118.66,72.14,0.03861,46.52,1565384,10784765,96705,93350761553
0.4441,2.7727,0.2874,0.7994,216.3,1.126,0.0105,0.3195,0.1338,0.5727,2.0295,0.01,144.63,39.61,0.42344,105.02,5727549,10870245,275874,214977428895
0.5523,1.5057,-0.4299,0.5666,148.3,0.962,0.0115,0.4911,0.0992,0.5134,1.3707,0.01,155.64,67.99,0.16635,87.65,8694808,15045318,257841,226024912939
0.5284,1.1271,-0.2386,0.5744,161.2,0.943,0.0051,0.2134,0.0791,0.0062,0.5692,0.01,146.62,60.83,0.26982,85.79,2767743,16647796,173154,192462909204
0.353,1.1106,-0.2874,0.5531,201.3,1.156,0.0127,0.297,0.115,0.3846,0.1389,0.01,158.79,36.49,0.19345,122.3,5291812,4983313,360789,228098564839
0.6389,2.4976,-0.2462,0.7393,216.7,0.92,0.0139,0.7742,0.2814,0.6301,0.159,0.01,166.73,52.41,0.14194,114.32,13944423,15245366,436409,238658039019
0.4824,1.1935,0.0235,0.6934,200.6,1.059,0.0087,0.4093,0.2516,0.0464,0.1786,0.01,131.94,52.86,0.4006,79.08,12870166,18607152,744043,223342561962
0.5391,1.6553,-0.1946,0.7628,143.1,1.16,0.0094,0.2152,0.4746,0.7878,1.4395,0.01,112.75,51.86,0.26152,60.89,2716612,19948409,355257,10736008808
0.5793,1.8605,-0.4578,0.7815,170.4,1.17,0.0196,0.6682,0.2643,0.2836,2.5161,0.01,169.0,58.67,0.23958,110.33,11252834,16312454,149194,74144441064
0.7484,2.5831,-0.1713,0.5731,211.2,0.927,0.0054,0.1037,0.4372,0.1835,0.6905,0.01,145.67,35.05,0.32436,110.62,6784698,16228399,181394,143174714731
0.7233,2.7644,-0.1319,0.5132,205.5,0.901,0.0135,0.2419,0.0904,0.1819,0.2757,0.01,142.04,45.48,0.21916,96.56,3386229,5217217,987275,188928701591
0.3682,1.777,0.0703,0.5463,251.8,1.171,0.0188,0.5192,0.7521,0.1009,0.6097,0.01,125.87,60.45,0.18908,65.42,7427921,4883693,105404,235824810962
0.3906,2.1741,-0.4645,0.6915,145.5,0.932,0.0155,0.5422,0.0892,0.0719,1.5955,0.01,120.48,53.56,0.35761,66.92,7860825,22659659,475375,45918072539
0.4939,1.8805,-0.2866,0.633,133.6,0.945,0.0176,0.7119,0.3427,0.7937,2.4575,0.01,115.74,36.47,0.37114,79.27,9138283,22719845,574533,179101690608
0.3081,1.0391,0.0934,0.769,247.5,1.143,0.0153,0.5903,0.7037,0.5273,2.8328,0.01,141.69,53.99,0.04015,87.7,2917752,21319327,902742,81444308936
0.6403,1.2903,0.0392,0.5638,195.4,1.031,0.0195,0.5331,0.7804,0.5375,3.075,0.01,121.31,40.49,0.06369,80.82,7743239,15262102,397500,55500374280
0.6548,2.9318,-0.2065,0.7905,247.0,1.162,0.0186,0.1572,0.5483,0.6321,4.8545,0.01,100.8,35.14,0.25968,65.66,5703155,11679495,864508,33689249017
0.4019,2.3531,0.0902,0.7087,202.8,1.085,0.0128,0.6226,0.6661,0.6445,0.7933,0.01,158.52,75.45,0.03239,83.07,2858902,21454614,739830,63658080751
0.302,2.0642,0.0307,0.5507,152.0,1.043,0.0144,0.5046,0.5536,0.5463,0.8578,0.01,123.09,52.43,0.36904,70.66,1700202,5581288,965235,156350214791
0.4845,1.2476,-0.1267,0.5014,159.9,0.947,0.0077,0.4681,0.2414,0.1165,0.7036,0.01,100.6,38.79,0.29392,61.81,1949018,16764341,334568,189633259519
0.2517,1.6462,-0.082,0.5986,218.9,0.91,0.0068,0.1459,0.1869,0.2117,1.0246,0.01,134.9,45.75,0.34112,89.15,12054944,22602275,91199,11357077325
0.4633,1.5941,-0.4603,0.6743,165.1,1.038,0.017,0.7881,0.3702,0.7666,3.305,0.01,129.29,36.54,0.30708,92.75,7472206,9589976,656202,165463981679
0.6926,2.1479,0.3572,0.5423,127.4,0.991,0.0111,0.4003,0.3393,0.5493,0.5695,0.01,158.13,62.58,0.28557,95.55,1082375,5498875,624956,129672145400
0.5781,1.795,-0.3669,0.792,125.1,0.944,0.0144,0.6144,0.5576,0.1377,0.9068,0.01,107.55,50.11,0.02506,57.44,2645495,14059508,262944,244487262412
0.7016,1.1802,-0.3962,0.7466,256.9,0.983,0.0132,0.7262,0.1464,0.3122,6.5761,0.01,131.15,70.91,0.05777,60.24,8154515,11106151,580241,36277500365
0.4954,1.7299,-0.2747,0.7259,141.7,1.03,0.0098,0.1128,0.7174,0.4247,0.695,0.01,125.91,71.23,0.2543,54.68,2389762,6266171,68433,139357646688
0.6316,1.1178,-0.1495,0.7761,253.3,1.148,0.0079,0.1948,0.7137,0.0534,0.8714,0.01,149.27,71.05,0.38545,78.22,2580004,5511929,635629,70502639743
0.538,2.866,-0.4238,0.7486,220.9,1.108,0.0054,0.3726,0.7623,0.4729,1.1471,0.01,166.09,53.78,0.39276,112.31,7833407,6721038,884336,223799440919
0.4882,2.4821,-0.1776,0.6767,181.8,1.074,0.0092,0.1991,0.4215,0.5367,6.5187,0.01,146.52,58.03,0.21561,88.49,6233583,13949891,376549,189055262368
0.5937,2.9851,0.1626,0.6685,224.5,0.937,0.0081,0.7904,0.731,0.4504,1.3324,0.01,165.07,56.5,0.07051,108.57,12212614,15687032,964218,62433386287
0.5586,1.374,-0.1025,0.6965,132.7,0.923,0.0115,0.7364,0.177,0.2818,2.527,0.01,152.9,40.69,0.21511,112.21,11450751,8291083,337161,84743593009
0.5039,2.1664,-0.1107,0.5869,138.0,1.052,0.0108,0.47,0.3547,0.5167,0.7183,0.01,114.21,73.08,0.23288,41.13,9969314,16634990,45208,151396766397
0.7439,1.0927,-0.4728,0.6368,243.5,1.192,0.0075,0.6812,0.2561,0.4442,0.7986,0.01,153.25,74.92,0.18046,78.33,11581547,16299607,303215,22997175794
0.3087,1.1475,0.0152,0.7164,232.2,0.959,0.0141,0.5488,0.5378,0.0476,0.1694,0.01,142.15,41.21,0.01857,100.94,3884091,10044645,244805,8327037151
0.2998,2.1999,0.075,0.7812,153.8,1.008,0.015,0.2854,0.1619,0.5668,0.7205,0.01,108.04,56.92,0.11121,51.12,4447350,22257238,590739,228436715194
0.3779,1.8375,0.3835,0.6042,249.3,1.064,0.0181,0.3876,0.1044,0.2876,3.2058,0.01,136.74,59.71,0.31236,77.03,4688653,6987706,438171,120784685365
0.546,2.14,-0.259,0.7156,193.6,0.974,0.0159,0.6487,0.2731,0.7957,0.762,0.01,115.32,42.02,0.13826,73.3,4230959,8059010,33543,59680363820
0.5289,2.8458,-0.4032,0.6378,201.0,0.95,0.0056,0.307,0.3881,0.4538,0.8358,0.01,148.7,75.38,0.36275,73.32,11052231,12566741,792015,131130161198
0.4518,2.2502,0.4131,0.7443,257.9,1.06,0.0052,0.1852,0.0507,0.0122,1.4799,0.01,120.28,75.66,0.0509,44.62,12710720,16106361,588755,56331335605
0.6968,2.265,-0.0785,0.5648,233.2,1.122,0.0077,0.2004,0.3668,0.5386,2.8377,0.01,146.31,68.7,0.46704,77.61,12620216,11986583,198646,168742520883
0.3338,2.9508,-0.1887,0.6231,212.7,1.18,0.0112,0.2633,0.2235,0.3275,8.4764,0.01,169.39,68.55,0.12584,100.84,13702624,4570464,347716,177053270935
0.4296,2.9576,-0.0925,0.5293,135.0,1.172,0.0144,0.1046,0.414,0.6379,2.4729,0.01,123.45,53.07,0.47516,70.38,7146130,19415535,860124,244718461793
0.5074,2.0523,0.2041,0.5711,245.7,1.149,0.0061,0.3561,0.6684,0.2019,2.9167,0.01,147.03,70.52,0.27582,76.51,6244637,21735533,120060,71465340536
0.6249,1.0564,-0.4476,0.5785,130.9,1.175,0.0083,0.3676,0.4628,0.5788,2.1092,0.01,142.37,48.55,0.38491,93.82,9527654,22201060,665774,156569855326
0.4818,2.6593,-0.4501,0.5215,122.3,1.103,0.0149,0.1389,0.007,0.2749,0.6707,0.01,167.36,55.82,0.29558,111.54,7847618,15753046,556720,229873133409
0.3864,1.1228,0.0282,0.762,193.7,1.192,0.0184,0.4327,0.138,0.2773,0.68,0.01,151.46,64.98,0.38916,86.48,9013704,20142678,247332,46725173812
0.6857,2.1262,0.1268,0.6955,164.0,1.105,0.0077,0.2508,0.6241,0.0897,1.2074,0.01,121.26,72.25,0.37258,49.01,12032908,15921282,734010,171251942752
0.3095,1.1708,-0.0397,0.7465,185.2,1.123,0.0144,0.2752,0.3628,0.698,1.1008,0.01,150.4,42.93,0.4689,107.47,13011986,16041967,111084,184475951345
0.5165,2.5041,-0.469,0.7863,269.7,1.143,0.0099,0.4917,0.736,0.3889,0.652,0.01,119.99,39.52,0.37608,80.47,3415765,14338085,891625,104084309703
